timestamp,message,logStreamName
1693337785815,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]4edf89a3f396454491f2a4ee1b16c13d
1693337785819,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]42d0fdb9728241749ebb98e0a4e8cb79
1693337785822,"END RequestId: 6cffd8c8-6282-41a3-ba77-d2e868562c6f
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337785822,"REPORT RequestId: 6cffd8c8-6282-41a3-ba77-d2e868562c6f	Duration: 145.56 ms	Billed Duration: 146 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337785836,"END RequestId: 97cd050f-f854-4cc8-aea6-bdf5b218c96c
",2023/08/29/[$LATEST]4edf89a3f396454491f2a4ee1b16c13d
1693337785836,"REPORT RequestId: 97cd050f-f854-4cc8-aea6-bdf5b218c96c	Duration: 2260.90 ms	Billed Duration: 2261 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	Init Duration: 270.20 ms	
",2023/08/29/[$LATEST]4edf89a3f396454491f2a4ee1b16c13d
1693337785867,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]04d62a1141e0499684ba61d35b41842c
1693337785889,"END RequestId: d4cf6365-d020-4788-b47f-aa188887ec7e
",2023/08/29/[$LATEST]04d62a1141e0499684ba61d35b41842c
1693337785889,"REPORT RequestId: d4cf6365-d020-4788-b47f-aa188887ec7e	Duration: 2443.44 ms	Billed Duration: 2444 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 281.22 ms	
",2023/08/29/[$LATEST]04d62a1141e0499684ba61d35b41842c
1693337785936,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]2a78db19ef4340e988c83c858612d13a
1693337785957,"END RequestId: de226ceb-0fa2-47b3-bcb0-3553f40c0aaf
",2023/08/29/[$LATEST]2a78db19ef4340e988c83c858612d13a
1693337785957,"REPORT RequestId: de226ceb-0fa2-47b3-bcb0-3553f40c0aaf	Duration: 2362.45 ms	Billed Duration: 2363 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 296.57 ms	
",2023/08/29/[$LATEST]2a78db19ef4340e988c83c858612d13a
1693337786004,"START RequestId: d2588a13-86a9-4aef-975b-06b01af58ef2 Version: $LATEST
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337786344,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
1693337786401,"END RequestId: 6be63cce-fa3f-4c64-8ab6-8bea842ebb60
",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
